"","spotify_id","name","followers","popularity","genres","chart_hits"
"1","5f7VJjfbwm532GiveGC0ZK","Lil Baby",11530234,89,"['atl hip hop', 'atl trap', 'rap', 'trap']","['us (62)', 'gb (16)', 'au (6)', 'at (3)', 'be (6)', 'bg (14)', 'ca (51)', 'cy (10)', 'cz (3)', 'dk (5)', 'do (1)', 'ee (4)', 'fi (3)', 'fr (2)', 'de (3)', 'gr (11)', 'hn (1)', 'hk (2)', 'hu (4)', 'is (20)', 'ie (7)', 'il (4)', 'lv (7)', 'lt (10)', 'lu (16)', 'mt (11)', 'ma (4)', 'nl (5)', 'nz (5)', 'no (8)', 'pa (1)', 'pt (6)', 'ro (13)', 'sa (3)', 'sg (1)', 'sk (4)', 'za (13)', 'se (3)', 'ch (8)', 'tw (2)', 'th (1)', 'ae (7)']"
"2","2h93pZq0e7k5yf4dywlkpM","Frank Ocean",9951370,83,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']","['us (17)', 'gb (10)', 'au (15)', 'at (1)', 'be (3)', 'bg (4)', 'ca (14)', 'cy (1)', 'dk (13)', 'ee (7)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (2)', 'hk (1)', 'hu (1)', 'is (20)', 'id (1)', 'ie (8)', 'lv (5)', 'lt (8)', 'lu (2)', 'mt (1)', 'nl (1)', 'nz (14)', 'no (7)', 'pl (1)', 'pt (6)', 'ro (1)', 'sa (1)', 'sg (2)', 'sk (3)', 'za (4)', 'se (6)', 'ch (3)', 'ae (2)']"
"3","3Mcii5XWf6E0lrY3Uky4cA","Ice Cube",6028684,74,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']","['us (1)', 'ca (1)', 'ee (1)', 'fi (1)', 'is (2)', 'lv (1)', 'lt (1)', 'nz (1)', 'sa (2)']"
"4","0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj",26039960,87,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']","['us (40)', 'gb (22)', 'ar (5)', 'au (19)', 'at (9)', 'be (14)', 'bo (4)', 'br (7)', 'bg (29)', 'ca (31)', 'cl (5)', 'co (5)', 'cr (5)', 'cy (15)', 'cz (10)', 'dk (7)', 'do (8)', 'ec (4)', 'eg (1)', 'sv (5)', 'ee (15)', 'fi (13)', 'fr (5)', 'de (11)', 'gr (23)', 'gt (3)', 'hn (6)', 'hk (11)', 'hu (14)', 'is (12)', 'in (2)', 'id (1)', 'ie (17)', 'il (6)', 'it (5)', 'jp (1)', 'lv (13)', 'lt (15)', 'lu (14)', 'my (11)', 'mt (12)', 'mx (3)', 'ma (2)', 'nl (10)', 'nz (18)', 'ni (4)', 'no (13)', 'pa (6)', 'py (4)', 'pe (3)', 'ph (9)', 'pl (10)', 'pt (13)', 'ro (16)', 'sa (4)', 'sg (12)', 'sk (17)', 'za (11)', 'kr (2)', 'es (5)', 'se (13)', 'ch (16)', 'tw (13)', 'th (6)', 'tr (8)', 'ae (4)', 'uy (4)', 'vn (8)']"
"5","4xRYI6VqpkE3UwrDrAZL8L","Logic",5783112,77,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']","['us (89)', 'gb (14)', 'ar (1)', 'au (10)', 'at (7)', 'be (7)', 'bo (2)', 'br (1)', 'bg (26)', 'ca (57)', 'co (1)', 'cr (3)', 'cy (18)', 'cz (8)', 'dk (7)', 'do (3)', 'ec (1)', 'eg (3)', 'sv (3)', 'ee (14)', 'fi (9)', 'fr (3)', 'de (7)', 'gr (27)', 'gt (3)', 'hn (3)', 'hk (6)', 'hu (12)', 'is (8)', 'in (2)', 'id (4)', 'ie (10)', 'il (7)', 'it (3)', 'jp (3)', 'lv (18)', 'lt (16)', 'lu (20)', 'my (6)', 'mt (19)', 'mx (1)', 'ma (2)', 'nl (5)', 'nz (17)', 'ni (2)', 'no (12)', 'pa (3)', 'py (1)', 'pe (1)', 'ph (4)', 'pl (5)', 'pt (12)', 'ro (15)', 'sa (3)', 'sg (6)', 'sk (11)', 'za (5)', 'es (3)', 'se (9)', 'ch (8)', 'tw (6)', 'th (5)', 'tr (3)', 'ua (1)', 'ae (3)', 'uy (1)', 'vn (3)']"
"6","4VMYDCV2IEDYJArk749S6m","Daddy Yankee",29446452,87,"['latin hip hop', 'reggaeton', 'trap latino']","['us (3)', 'gb (1)', 'ar (32)', 'au (1)', 'at (3)', 'be (2)', 'bo (35)', 'br (1)', 'bg (4)', 'ca (4)', 'cl (51)', 'co (34)', 'cr (31)', 'cy (4)', 'cz (2)', 'dk (1)', 'do (42)', 'ec (47)', 'eg (1)', 'sv (46)', 'ee (3)', 'fi (2)', 'fr (2)', 'de (3)', 'gr (3)', 'gt (43)', 'hn (46)', 'hk (2)', 'hu (3)', 'is (1)', 'in (1)', 'ie (1)', 'il (2)', 'it (7)', 'jp (2)', 'lv (2)', 'lt (4)', 'lu (5)', 'my (2)', 'mt (9)', 'mx (30)', 'ma (1)', 'nl (2)', 'nz (2)', 'ni (42)', 'no (2)', 'pa (39)', 'py (28)', 'pe (42)', 'ph (2)', 'pl (2)', 'pt (6)', 'ro (3)', 'sa (1)', 'sg (2)', 'sk (3)', 'za (1)', 'es (44)', 'se (2)', 'ch (10)', 'tw (2)', 'th (2)', 'tr (1)', 'ae (2)', 'uy (36)', 'vn (1)', 'ad (2)']"
"7","0ErzCpIMyLcjPiwT4elrtZ","NLE Choppa",5066308,76,"['memphis hip hop']","['us (15)', 'gb (1)', 'au (3)', 'at (1)', 'be (2)', 'bg (7)', 'ca (11)', 'cy (4)', 'dk (2)', 'eg (1)', 'ee (4)', 'fi (3)', 'de (1)', 'gr (4)', 'hu (4)', 'is (6)', 'ie (3)', 'il (2)', 'lv (4)', 'lt (4)', 'lu (6)', 'mt (2)', 'ma (1)', 'nl (1)', 'nz (3)', 'no (3)', 'pt (1)', 'ro (5)', 'sa (1)', 'sk (1)', 'za (4)', 'se (1)', 'ch (2)', 'ae (4)']"
"8","1gPhS1zisyXr5dHTYZyiMe","Kevin Gates",5326006,74,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']","['us (13)', 'au (2)', 'bg (3)', 'ca (5)', 'cy (1)', 'cz (1)', 'ee (1)', 'fi (1)', 'gr (2)', 'hk (1)', 'hu (1)', 'is (3)', 'lv (5)', 'lt (1)', 'my (1)', 'nz (3)', 'no (2)', 'pl (2)', 'pt (1)', 'sg (1)', 'sk (2)', 'za (1)', 'ch (2)', 'tw (2)', 'tr (1)']"
"9","6oMuImdp5ZcFhWP0ESe6mG","Migos",12531248,77,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']","['us (59)', 'gb (15)', 'au (9)', 'at (12)', 'be (13)', 'bo (1)', 'br (1)', 'bg (49)', 'ca (53)', 'co (1)', 'cr (3)', 'cy (12)', 'cz (8)', 'dk (14)', 'do (4)', 'eg (1)', 'sv (2)', 'ee (13)', 'fi (9)', 'fr (18)', 'de (14)', 'gr (35)', 'gt (1)', 'hn (3)', 'hk (5)', 'hu (15)', 'is (32)', 'id (4)', 'ie (11)', 'il (4)', 'it (7)', 'jp (3)', 'lv (16)', 'lt (11)', 'lu (41)', 'my (4)', 'mt (14)', 'mx (1)', 'ma (4)', 'nl (12)', 'nz (10)', 'ni (2)', 'no (12)', 'pa (4)', 'py (1)', 'ph (4)', 'pl (6)', 'pt (11)', 'ro (17)', 'sa (2)', 'sg (6)', 'sk (21)', 'za (22)', 'kr (2)', 'es (2)', 'se (11)', 'ch (29)', 'tw (6)', 'th (3)', 'tr (5)', 'ae (3)', 'vn (1)']"
"10","699OTQXzgjhIYAHMy9RyPD","Playboi Carti",6914690,82,"['atl hip hop', 'plugg', 'pluggnb', 'rap']","['us (26)', 'gb (2)', 'au (3)', 'at (1)', 'be (1)', 'bg (13)', 'ca (14)', 'cy (3)', 'cz (1)', 'dk (1)', 'eg (1)', 'ee (15)', 'fi (2)', 'fr (1)', 'de (1)', 'gr (7)', 'hk (1)', 'hu (3)', 'is (19)', 'ie (1)', 'il (1)', 'lv (16)', 'lt (9)', 'lu (4)', 'my (1)', 'mt (2)', 'ma (2)', 'nl (1)', 'nz (4)', 'no (1)', 'pl (1)', 'pt (3)', 'ro (19)', 'ru (9)', 'sa (3)', 'sg (1)', 'sk (4)', 'za (6)', 'se (1)', 'ch (2)', 'tw (1)', 'ua (9)', 'ae (4)']"
"11","0jnsk9HBra6NMjO2oANoPY","Flo Rida",8645421,77,"['dance pop', 'miami hip hop', 'pop', 'pop rap']","['us (6)', 'gb (6)', 'ar (5)', 'au (9)', 'at (10)', 'be (5)', 'bo (4)', 'br (4)', 'bg (7)', 'ca (7)', 'cl (3)', 'co (4)', 'cr (3)', 'cy (4)', 'cz (7)', 'dk (10)', 'do (3)', 'ec (4)', 'sv (3)', 'ee (8)', 'fi (10)', 'fr (4)', 'de (9)', 'gr (7)', 'gt (4)', 'hn (3)', 'hk (6)', 'hu (10)', 'is (7)', 'id (2)', 'ie (6)', 'it (5)', 'lv (8)', 'lt (8)', 'lu (4)', 'my (6)', 'mt (7)', 'mx (4)', 'nl (5)', 'nz (6)', 'ni (3)', 'no (16)', 'pa (3)', 'py (3)', 'pe (4)', 'ph (6)', 'pl (7)', 'pt (4)', 'sg (7)', 'sk (7)', 'es (4)', 'se (9)', 'ch (8)', 'tw (7)', 'tr (7)', 'uy (4)']"
"12","0fA0VVWsXO9YnASrzqfmYu","Kid Cudi",6000043,81,"['hip hop', 'ohio hip hop', 'rap']","['us (28)', 'gb (4)', 'au (4)', 'at (1)', 'be (3)', 'bg (8)', 'ca (21)', 'co (1)', 'cy (2)', 'dk (2)', 'eg (6)', 'ee (9)', 'fi (2)', 'fr (4)', 'de (2)', 'gr (2)', 'hn (1)', 'hu (2)', 'is (13)', 'ie (6)', 'il (1)', 'lv (14)', 'lt (6)', 'lu (4)', 'ma (5)', 'nl (1)', 'nz (4)', 'ni (1)', 'no (4)', 'pe (1)', 'pt (2)', 'ro (4)', 'ru (3)', 'sa (4)', 'sk (2)', 'za (11)', 'ch (4)', 'ua (2)', 'ae (10)']"
"13","2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller",5942355,78,"['kentucky hip hop', 'pop', 'r&b', 'rap', 'trap']","['us (30)', 'gb (7)', 'au (5)', 'at (1)', 'be (1)', 'bo (1)', 'br (1)', 'bg (4)', 'ca (26)', 'cy (1)', 'cz (1)', 'dk (2)', 'do (1)', 'ee (1)', 'fr (1)', 'de (1)', 'gr (4)', 'hk (1)', 'hu (1)', 'is (2)', 'id (1)', 'ie (3)', 'it (1)', 'lv (1)', 'lt (2)', 'lu (3)', 'my (1)', 'mt (1)', 'nl (4)', 'nz (4)', 'no (2)', 'pa (1)', 'ph (1)', 'pl (1)', 'pt (2)', 'ro (1)', 'sg (1)', 'sk (1)', 'za (12)', 'se (2)', 'ch (4)', 'tw (1)', 'ae (1)']"
"14","3MHaV05u0io8fQbZ2XPtlC","Prince Royce",7222786,76,"['bachata', 'latin hip hop', 'latin pop']","['us (1)', 'ar (12)', 'au (1)', 'bo (12)', 'br (2)', 'bg (1)', 'ca (1)', 'cl (10)', 'co (8)', 'cr (11)', 'cz (1)', 'do (9)', 'ec (13)', 'sv (10)', 'ee (1)', 'fi (1)', 'gr (1)', 'gt (14)', 'hn (14)', 'hk (1)', 'hu (1)', 'is (1)', 'ie (1)', 'it (1)', 'lv (1)', 'lt (1)', 'my (1)', 'mt (2)', 'mx (12)', 'nl (1)', 'nz (1)', 'ni (8)', 'pa (12)', 'py (10)', 'pe (14)', 'ph (1)', 'pl (2)', 'pt (1)', 'sg (1)', 'sk (1)', 'es (19)', 'ch (2)', 'tw (1)', 'tr (1)', 'uy (12)', 'ad (1)']"
"15","5yG7ZAZafVaAlMTeBybKAL","Iggy Azalea",6098372,69,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap', 'uk pop', 'viral rap']","['us (7)', 'gb (6)', 'ar (3)', 'au (6)', 'at (3)', 'be (6)', 'bo (2)', 'br (8)', 'bg (7)', 'ca (7)', 'cl (3)', 'co (2)', 'cr (2)', 'cy (5)', 'cz (5)', 'dk (4)', 'do (3)', 'ec (2)', 'sv (3)', 'ee (5)', 'fi (3)', 'fr (2)', 'de (3)', 'gr (7)', 'gt (2)', 'hn (2)', 'hk (6)', 'hu (5)', 'is (3)', 'id (1)', 'ie (6)', 'it (4)', 'lv (4)', 'lt (5)', 'lu (3)', 'my (7)', 'mt (3)', 'mx (3)', 'nl (4)', 'nz (6)', 'ni (2)', 'no (4)', 'pa (2)', 'py (3)', 'pe (2)', 'ph (7)', 'pl (6)', 'pt (6)', 'ro (2)', 'sg (6)', 'sk (5)', 'es (3)', 'se (3)', 'ch (5)', 'tw (8)', 'tr (6)', 'uy (2)', 'vn (1)']"
"16","20sxb77xiYeusSH8cVdatc","Meek Mill",6481503,75,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']","['us (52)', 'gb (8)', 'au (4)', 'at (2)', 'be (3)', 'bo (1)', 'br (1)', 'bg (4)', 'ca (36)', 'co (1)', 'cr (2)', 'cy (3)', 'cz (2)', 'dk (2)', 'do (2)', 'sv (1)', 'ee (2)', 'fi (2)', 'fr (2)', 'de (2)', 'gr (6)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (2)', 'is (2)', 'ie (2)', 'il (1)', 'it (1)', 'lv (2)', 'lt (3)', 'lu (4)', 'my (3)', 'mt (2)', 'ma (1)', 'nl (3)', 'nz (5)', 'no (2)', 'pa (2)', 'py (1)', 'ph (3)', 'pl (4)', 'pt (2)', 'ro (3)', 'sa (1)', 'sg (3)', 'sk (2)', 'za (3)', 'es (1)', 'se (2)', 'ch (5)', 'tw (3)', 'th (1)', 'tr (2)', 'ae (1)', 'uy (1)', 'vn (1)']"
"17","4V8LLVI7PbaPR0K2TGSxFF","Tyler, The Creator",9524149,84,"['hip hop', 'rap']","['us (43)', 'gb (28)', 'au (30)', 'at (3)', 'be (9)', 'br (1)', 'bg (23)', 'ca (37)', 'cr (1)', 'cy (8)', 'cz (6)', 'dk (16)', 'do (1)', 'eg (1)', 'ee (28)', 'fi (7)', 'fr (1)', 'de (2)', 'gr (15)', 'hn (1)', 'hk (2)', 'hu (10)', 'is (29)', 'in (1)', 'id (1)', 'ie (24)', 'il (11)', 'jp (1)', 'lv (33)', 'lt (33)', 'lu (13)', 'my (2)', 'mt (8)', 'ma (1)', 'nl (6)', 'nz (30)', 'no (13)', 'pa (1)', 'ph (2)', 'pl (9)', 'pt (23)', 'ro (19)', 'ru (5)', 'sa (2)', 'sg (3)', 'sk (14)', 'za (14)', 'kr (10)', 'se (3)', 'ch (10)', 'tw (2)', 'th (1)', 'ua (4)', 'ae (10)', 'vn (1)']"
"18","716NhGYqD1jl2wI1Qkgq36","Bizarrap",6978398,87,"['argentine hip hop', 'pop venezolano', 'trap argentino']","['us (1)', 'ar (50)', 'at (1)', 'be (1)', 'bo (24)', 'ca (1)', 'cl (27)', 'co (12)', 'cr (27)', 'cy (1)', 'do (9)', 'ec (18)', 'sv (16)', 'fr (1)', 'de (1)', 'gt (14)', 'hn (12)', 'is (1)', 'ie (1)', 'it (1)', 'lt (1)', 'lu (2)', 'mx (14)', 'ma (2)', 'ni (14)', 'pa (15)', 'py (31)', 'pe (17)', 'pt (1)', 'kr (1)', 'es (27)', 'ch (1)', 'ae (1)', 'uy (47)', 'ad (1)']"
"19","7dGJo4pcD2V6oG8kP0tJRR","Eminem",59184634,90,"['detroit hip hop', 'hip hop', 'rap']","['us (78)', 'gb (72)', 'ar (7)', 'au (64)', 'at (61)', 'be (48)', 'bo (8)', 'br (10)', 'bg (73)', 'ca (73)', 'cl (5)', 'co (7)', 'cr (15)', 'cy (62)', 'cz (54)', 'dk (54)', 'do (12)', 'ec (8)', 'eg (32)', 'sv (8)', 'ee (63)', 'fi (70)', 'fr (48)', 'de (68)', 'gr (62)', 'gt (8)', 'hn (9)', 'hk (24)', 'hu (58)', 'is (47)', 'in (9)', 'id (7)', 'ie (63)', 'il (38)', 'it (39)', 'jp (5)', 'lv (64)', 'lt (58)', 'lu (56)', 'my (21)', 'mt (53)', 'mx (8)', 'ma (34)', 'nl (54)', 'nz (66)', 'ni (6)', 'no (68)', 'pa (8)', 'py (6)', 'pe (2)', 'ph (10)', 'pl (28)', 'pt (54)', 'ro (50)', 'ru (2)', 'sa (39)', 'sg (24)', 'sk (60)', 'za (25)', 'es (7)', 'se (62)', 'ch (71)', 'tw (15)', 'th (7)', 'tr (31)', 'ua (4)', 'ae (29)', 'uy (5)', 'vn (13)']"
"20","2kCcBybjl3SAtIcwdWpUe3","Lil Peep",8967975,82,"['emo rap', 'lgbtq+ hip hop']","['us (14)', 'gb (10)', 'ar (1)', 'au (5)', 'at (11)', 'be (2)', 'bo (1)', 'br (1)', 'bg (16)', 'ca (10)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (8)', 'cz (27)', 'dk (6)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (29)', 'fi (15)', 'fr (2)', 'de (10)', 'gr (11)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (16)', 'is (13)', 'id (1)', 'ie (7)', 'il (1)', 'it (1)', 'jp (1)', 'lv (31)', 'lt (22)', 'lu (10)', 'my (1)', 'mt (11)', 'mx (1)', 'nl (1)', 'nz (6)', 'ni (1)', 'no (9)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (21)', 'pt (4)', 'ro (14)', 'ru (4)', 'sg (2)', 'sk (30)', 'es (1)', 'se (10)', 'ch (7)', 'tw (2)', 'th (1)', 'tr (1)', 'ua (5)', 'uy (1)', 'vn (1)']"
