"ego_spotify_id","alter_spotify_id", "alter_name", "alter_followers"
6M2wZ9GZgrQXHCFfjv46we,6nrcitrqNYFamHdnc3tI7f,Dj Rasimcan,9682.0
6M2wZ9GZgrQXHCFfjv46we,73e7mIMB4TvYKvNuXu2XxR,With You.,3702.0
6M2wZ9GZgrQXHCFfjv46we,6n28c9qs9hNGriNa72b26u,PNAU,188737.0
6M2wZ9GZgrQXHCFfjv46we,6mK0vAO13gT8jWYANyoXAl,Young Franco,57959.0
6M2wZ9GZgrQXHCFfjv46we,76fuWYgIf3TVIopTs3vaJ6,Amaal Mallik,1704196.0
6M2wZ9GZgrQXHCFfjv46we,7bmYpVgQub656uNTu6qGNQ,Hwa Sa,3321062.0
6M2wZ9GZgrQXHCFfjv46we,7tUuueEA6DzbvvHmDy79Ow,Max + Johann,4060.0
6M2wZ9GZgrQXHCFfjv46we,6f96znq79wvlknKHHHhtTW,Jarreau Vandal,61910.0
6M2wZ9GZgrQXHCFfjv46we,7vX253va0fqx0oGl2KuW22,MRK,742.0
6M2wZ9GZgrQXHCFfjv46we,6fFcUOFcbjeIuEomuUthkw,Oklou,57221.0
6M2wZ9GZgrQXHCFfjv46we,6U3ybJ9UHNKEdsH7ktGBZ7,JID,987676.0
6M2wZ9GZgrQXHCFfjv46we,6RDNTAgm2s6ae71nXWGnJD,Alex Metric,27034.0
6M2wZ9GZgrQXHCFfjv46we,6cK3NBO6uP7hh0oyuVELFl,Saweetie,1658482.0
6M2wZ9GZgrQXHCFfjv46we,6owH8F2INpb18PhnISiVh2,Vantage,62865.0
6M2wZ9GZgrQXHCFfjv46we,6xEBnvI1FUBHSVfdz4S7D1,NastyNasty,5685.0
6M2wZ9GZgrQXHCFfjv46we,7ypPN35cJ9wfF2Zs7aYS33,Dillistone,11010.0
6M2wZ9GZgrQXHCFfjv46we,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,561698.0
6M2wZ9GZgrQXHCFfjv46we,7bZGP9ijvv55LOENT634Mj,PS1,6747.0
6M2wZ9GZgrQXHCFfjv46we,6tbjWDEIzxoDsBA1FuhfPW,Madonna,6334881.0
6M2wZ9GZgrQXHCFfjv46we,6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,2389551.0
6M2wZ9GZgrQXHCFfjv46we,738wLrAtLtCtFOLvQBXOXp,Major Lazer,6302403.0
6M2wZ9GZgrQXHCFfjv46we,6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,1069134.0
6M2wZ9GZgrQXHCFfjv46we,6TGsaPbyXTM7FAeHi68yp7,KUU,3559.0
6M2wZ9GZgrQXHCFfjv46we,7wFDo161xYdeaiLz3KIHoM,Gallant,291456.0
6M2wZ9GZgrQXHCFfjv46we,6pohviZSNRueSX7uNu63ZX,Moodymann,138308.0
6M2wZ9GZgrQXHCFfjv46we,7CajNmpbOovFoOoasH2HaY,Calvin Harris,22819977.0
6M2wZ9GZgrQXHCFfjv46we,6TshTCYwh9ySzOO6Jy4Ux2,Maya Jane Coles,212539.0
6M2wZ9GZgrQXHCFfjv46we,7JMPwFdbHhPe46HDJXKhA5,Black Saint,12670.0
6M2wZ9GZgrQXHCFfjv46we,7keGfmQR4X5w0two1xKZ7d,Kungs,859876.0
6M2wZ9GZgrQXHCFfjv46we,7yRimuQSC5Ks3T2Ts0iyZa,Patrick Topping,156565.0
6M2wZ9GZgrQXHCFfjv46we,75nC6MXUalYZSOd7OfNkwq,Tensnake,78990.0
6M2wZ9GZgrQXHCFfjv46we,6iG6qr6AuNhUacNPi9dOHp,Leo Zero,957.0
5Matrg5du62bXwer29cU5T,7HrZmYorlPxSjn7XUQLRxt,Bentlee,3.0
5Matrg5du62bXwer29cU5T,5oNgAs7j5XcBMzWv3HAnHG,DJ Drama,1278173.0
5Matrg5du62bXwer29cU5T,6AMa1VFQ7qCi61tCRtVWXe,Jim Jones,599332.0
5Matrg5du62bXwer29cU5T,6i5jVrrQgGGpPfzVU7XJq2,HiJinks,56.0
5Matrg5du62bXwer29cU5T,6DVipHzYsPlIoA0DW8Gmns,Royce Da 5'9",707843.0
5Matrg5du62bXwer29cU5T,5bgr1sPXFeiNuS4vARMZp1,Rick Hyde,5915.0
5Matrg5du62bXwer29cU5T,6q3p11nP1p80Ey6LrOOSed,Hit-Boy,52266.0
5Matrg5du62bXwer29cU5T,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,8686870.0
5Matrg5du62bXwer29cU5T,6GEykX11lQqp92UVOQQCC7,DJ Premier,221394.0
5Matrg5du62bXwer29cU5T,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,17839233.0
5Matrg5du62bXwer29cU5T,75sHJ9w4paLbjad7Jr1JsK,G. Huff,202.0
5Matrg5du62bXwer29cU5T,7iisrOTOgE9WnHdM3TlUTo,Beezy Montana,5.0
5Matrg5du62bXwer29cU5T,6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,1893142.0
5Matrg5du62bXwer29cU5T,6zku3Ga9mi9FT5wH1fnZNk,Lovey Lucciano,4.0
5Matrg5du62bXwer29cU5T,6VG5Dwz8DbqnwWAyaJTc2D,Heem B$F,3563.0
5Matrg5du62bXwer29cU5T,6Afg12eQ1Xu2O4ugWDhDcU,Dark Lo,16268.0
5Matrg5du62bXwer29cU5T,5gEQWOxS13gtfawkQEUZcL,Jay Batters,2.0
5Matrg5du62bXwer29cU5T,6vXTefBL93Dj5IqAWq6OTv,French Montana,4648251.0
5Matrg5du62bXwer29cU5T,6fXIxRAaELsPMPhSkuV54J,Che Noir,17237.0
5Matrg5du62bXwer29cU5T,6xS5PpBWaVYraexEkEjjXv,Maxo Kream,415892.0
5Matrg5du62bXwer29cU5T,6DJEUXZm0e2rAohdoZ5Voo,Black Thought,190045.0
5Matrg5du62bXwer29cU5T,6yfQS4NupLnqK3X2aPnupM,Conway,2468.0
5Matrg5du62bXwer29cU5T,6PZSamzVjQTB8J9gVmpouk,Loveboat Luciano,754.0
5Matrg5du62bXwer29cU5T,5QdEbQJ3ylBnc3gsIASAT5,G Herbo,1608240.0
5Matrg5du62bXwer29cU5T,5pnbUBPifNnlusY8kTBivi,Jadakiss,972006.0
5Matrg5du62bXwer29cU5T,7kFfY4UjNdNyaeUgLIEbIF,DeJ Loaf,1453699.0
5Matrg5du62bXwer29cU5T,65Sw3vav6M86SkzlQUUVFe,Dwayne Collins,71.0
5Matrg5du62bXwer29cU5T,67gqUXxHedeUGDTxwBzdjS,Conway the Machine,211923.0
15tTVhFpH8EFXeDgO9xkRO,1xqp3Zckdqk2RVqf9NpMXA,Alex Maxwell,696.0
15tTVhFpH8EFXeDgO9xkRO,5p7Ph7LBiVb8cUCCSGq5aF,Hayden Coffman,14688.0
15tTVhFpH8EFXeDgO9xkRO,4YTk2H7LWeoCgdoQ5umieQ,Rvshvd,45145.0
4N874uPqBka1QiCvnCVOtr,4NHQUGzhtTLFvgF5SZesLK,Tove Lo,3088737.0
4N874uPqBka1QiCvnCVOtr,6KZDXtSj0SzGOV705nNeh3,Kid Ink,2879810.0
4N874uPqBka1QiCvnCVOtr,6QrQ7OrISRYIfS5mtacaw2,Jaymes Young,818554.0
