"","spotify_id","name","followers","genres"
"1","6M2wZ9GZgrQXHCFfjv46we","Dua Lipa",36163788,"['dance pop', 'pop', 'uk pop']"
"2","5Matrg5du62bXwer29cU5T","Benny The Butcher",266547,"['boom bap', 'buffalo hip hop', 'hip hop', 'rap', 'upstate ny rap']"
"3","15tTVhFpH8EFXeDgO9xkRO","Trey Lewis",78275,"['contemporary country', 'country pop']"
"4","4N874uPqBka1QiCvnCVOtr","Phoebe Ryan",339160,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'uk pop']"
"5","2l35CQqtYRh3d8ZIiBep4v","MKTO",995449,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'uk pop']"
"6","23fqKkggKUBHNkbKtXEls4","Kygo",8134874,"['edm', 'pop', 'pop dance', 'tropical house']"
"7","1WgXqy2Dd70QQOU7Ay074N","AURORA",2426951,"['art pop', 'norwegian pop']"
"8","4YXycRbyyAE0wozTk7QMEq","Matoma",706492,"['dance pop', 'edm', 'electro house', 'electropop', 'norwegian pop', 'pop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']"
"9","360IAlyVv4PCEVjgyMZrxK","Miguel",4195623,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
"10","2vm8GdHyrJh2O2MfbQFYG0","Ingrid Michaelson",780402,"['acoustic pop', 'ectofolk', 'lilith', 'neo mellow', 'pop rock']"
"11","0NIIxcxNHmOoyBx03SfTCD","Tinashe",2440457,"['alternative r&b', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'rap', 'uk pop', 'urban contemporary']"
"12","1XLjkBxFokuDTlHt0mQkRe","Thomas Gold",163074,"['big room', 'edm', 'electro house', 'funky tech house', 'german techno', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
"13","4kYSro6naA4h99UJvo89HB","Cardi B",20361435,"['dance pop', 'pop', 'rap']"
"14","5lXfVoQxVgC5fpjkVqvNYn","Isaiah Firebrace",52781,"['australian pop', 'australian talent show']"
"15","2GHclqNVjqGuiE5mA7BEoc","Common",833451,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'neo soul', 'political hip hop', 'rap']"
"16","7DMveApC7UnC2NPfPvlHSU","Cheat Codes",2087675,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house', 'uk pop']"
"17","5f7VJjfbwm532GiveGC0ZK","Lil Baby",11530234,"['atl hip hop', 'atl trap', 'rap', 'trap']"
"18","4nDoRrQiYLoBzwC5BhVJzF","Camila Cabello",27956268,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
"19","5EvFsr3kj42KNv97ZEnqij","Shaggy",1795159,"['dance pop', 'pop rap', 'reggae fusion']"
"20","6ghiFYcwn2Vzl6K50U0UPz","Michael Ray",430842,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
"21","6y5amJcTjeDgLXIjtQLMst","SAYGRACE",173252,"['dance pop', 'pop', 'r&b']"
"22","1xr2G8Hlx4QWmT9HaUbmoO","Young Stoner Life",90775,"['hip hop', 'rap', 'southern hip hop', 'trap']"
"23","4KJ6jujcNPzOyhdNoiNftp","lovelytheband",360970,"['indie poptimism', 'modern alternative rock', 'modern rock']"
"24","2h93pZq0e7k5yf4dywlkpM","Frank Ocean",9951370,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
"25","0AsThoR4KZSVktALiNcQwW","Chloe x Halle",1857184,"['alternative r&b', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']"
"26","6vWDO969PvNqNYHIOW5v0m","Beyoncé",32087569,"['dance pop', 'pop', 'r&b']"
"27","3KNIG74xSTc3dj0TRy7pGX","BLEU",1159612,"['alabama rap', 'pop rap', 'r&b', 'rap', 'trap']"
"28","0huGjMyP507tBCARyzSkrv","Cordae",1803987,"['dmv rap', 'hip hop', 'rap', 'trap', 'underground hip hop']"
"29","3Mcii5XWf6E0lrY3Uky4cA","Ice Cube",6028684,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
"30","45gHcnDnMC15sgx3VL7ROG","42 Dugg",710893,"['detroit trap', 'rap', 'southern hip hop', 'trap']"
"31","5CCwRZC6euC8Odo6y9X8jr","Rita Ora",7592797,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']"
"32","4xnihxcoXWK3UqryOSnbw5","Sasha Alex Sloan",1174594,"['alt z', 'electropop', 'pop']"
"33","5wPoxI5si3eJsYYwyXV4Wi","N.E.R.D",761535,"['hip hop', 'virginia hip hop']"
"34","0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj",26039960,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']"
"35","1GDbiv3spRmZ1XdM1jQbT7","Natti Natasha",8355571,"['latin pop', 'rap latina', 'reggaeton', 'trap latino']"
"36","3IaKn0ExWTMPqa0mscUYw3","Only The Family",272267,"['chicago rap', 'rap', 'southern hip hop', 'trap']"
"37","6U3ybJ9UHNKEdsH7ktGBZ7","JID",987676,"['hip hop', 'rap']"
"38","1vSN1fsvrzpbttOYGsliDr","Tori Kelly",2052997,"['dance pop']"
"39","6UBA15slIuadJ8h2lPRPos","Tech N9ne",2523206,"['hip hop', 'kansas city hip hop', 'pop rap', 'southern hip hop']"
"40","64M6ah0SkkRsnPGtGiRAbb","Bebe Rexha",7531004,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
"41","4BzCdhJTyTS3gumq9xmymb","ayokay",158827,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']"
"42","4QVBYiagIaa6ZGSPMbybpy","Pedro Capó",1525705,"['latin pop', 'puerto rican pop']"
"43","4xRYI6VqpkE3UwrDrAZL8L","Logic",5783112,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
"44","5gCRApTajqwbnHHPbr2Fpi","Juicy J",2891371,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"45","2txHhyCwHjUEpJjWrEyqyX","Tom Odell",2371386,"['chill pop', 'pop']"
"46","0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne",9097882,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']"
"47","4gOc8TsQed9eqnqJct2c5v","K/DA",1616999,"['k-pop girl group']"
"48","2gBjLmx6zQnFGQJCAQpRgw","Nelly",2229377,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
"49","3EW0kQ1skZiK1NHg3Spt9J","Takeoff",1261393,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
"50","3EY5DxGdy7x4GelivOjS2Q","Connie Francis",357577,"['adult standards', 'brill building pop', 'lounge', 'rock-and-roll', 'rockabilly']"
"51","3eVa5w3URK5duf6eyVDbu9","ROSÉ",3244912,"['k-pop']"
"52","01QTIT5P1pFP3QnnFSdsJf","Lupe Fiasco",1782190,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']"
"53","1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas",6881366,"['dance pop', 'pop', 'pop rap']"
"54","2XzXLjXRSeFtsic4ieyLJy","Wilbur Soot",1604832,"['dream smp', 'indie pop']"
"55","4VMYDCV2IEDYJArk749S6m","Daddy Yankee",29446452,"['latin hip hop', 'reggaeton', 'trap latino']"
"56","3oDbviiivRWhXwIE8hxkVV","The Beach Boys",3805849,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']"
"57","0ErzCpIMyLcjPiwT4elrtZ","NLE Choppa",5066308,"['memphis hip hop']"
"58","2zJ8chFLjiBHRNchfevMRI","SNBRN",100622,"['bass house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']"
